,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,id,host_name,host_response_time,host_response_rate,host_is_superhost,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
103,Pousada das Colonias,Bed and breakfast,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,9,1.0,138.0,10381879,Lidia Maria,within an hour,90.0,0,10.0,10.0,10.0,10.0,10.0,10.0,98.0
104,"Charming Apartment,perfect Location",Apartment,Entire home/apt,Real Bed,2,89,super_strict_30,4,1.0,2.0,110,1.0,351.0,1063491,Fabio,within an hour,98.0,0,10.0,9.0,10.0,10.0,10.0,9.0,95.0
105,Homely Room in 5-Star New Condo@MTR,Condominium,Private room,Real Bed,28,1125,strict_14_with_grace_period,2,1.0,1.0,179,1.0,479.0,10458796,Crystal,within an hour,100.0,0,9.0,9.0,10.0,10.0,10.0,9.0,94.0
106,Aluguel Temporada Casa São Conrado,House,Entire home/apt,Real Bed,5,1125,flexible,11,4.0,8.0,0,7.0,2499.0,10449328,Maria Pia,a few days or more,0.0,0,,,,,,,
107,"Studio convenient to CBD, beaches, street parking.",Guest suite,Entire home/apt,Real Bed,2,3,moderate,5,1.0,4.0,104,1.0,45.0,10416859,Leslie,,,0,10.0,9.0,10.0,10.0,10.0,10.0,96.0
108,Banyan Bungalow,Bungalow,Entire home/apt,Real Bed,2,300,flexible,2,0.0,1.0,99,1.0,100.0,10392282,Bobby,within an hour,100.0,0,10.0,9.0,10.0,10.0,10.0,9.0,96.0
109,Grand apartment Sagrada Familia,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,8,4.0,6.0,77,2.0,169.0,10581101,Alexandra Y Juan,within an hour,100.0,0,10.0,9.0,9.0,9.0,9.0,9.0,90.0
110,GREAT Apartment at Barra da Tijuca,Apartment,Entire home/apt,Real Bed,4,100,moderate,6,3.0,7.0,13,4.0,933.0,10635276,Luiz Henrique,,,1,10.0,10.0,10.0,10.0,10.0,10.0,100.0
111,Beautiful 1 Bedroom Apartment,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,10,1.0,997.0,10659534,Mai-Britt,within a few hours,100.0,0,9.0,10.0,9.0,10.0,10.0,9.0,95.0
112,Colonial Mansion in Santa Teresa,House,Entire home/apt,Real Bed,1,1125,flexible,8,6.0,6.0,0,5.0,1999.0,1066648,John,within a few hours,100.0,0,,,,,,,
113,The Garden Studio,Guesthouse,Entire home/apt,Real Bed,2,40,strict_14_with_grace_period,2,1.0,1.0,146,1.0,129.0,1047087,Cath,within a few hours,100.0,1,10.0,10.0,10.0,10.0,9.0,10.0,97.0
114,Tropical Jungle Oasis,Condominium,Entire home/apt,Real Bed,2,1125,moderate,4,2.0,3.0,65,1.5,125.0,10527243,Douglas,within an hour,100.0,1,10.0,10.0,10.0,10.0,10.0,10.0,96.0
115,Whole Apt. in East Williamsburg,Apartment,Entire home/apt,Real Bed,4,90,moderate,4,1.0,1.0,126,1.0,125.0,10545815,Guillermo,within an hour,100.0,0,10.0,10.0,10.0,10.0,9.0,9.0,96.0
116,Spacious and well located apartment,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,6,2.0,3.0,20,1.0,60.0,10560325,Andre,within a day,80.0,0,9.0,9.0,10.0,9.0,9.0,9.0,89.0
117,Beautiful flat with services,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,2.0,2.0,32,2.0,351.0,10411341,Liliane,within a day,100.0,1,10.0,9.0,9.0,10.0,10.0,9.0,95.0
